id,date_id,client_id,campaign_id,fund_id,impressions,clicks,leads,new_signups,assets_under_management,weight,price_usd
1,1,17,1,24,6899,84,12,4,0,0.32,71.02
2,1,123,1,19,5371,114,16,0,0,0.15,49.2
3,1,123,1,24,5818,130,19,6,0,0.39,36.37
4,1,123,1,22,1372,36,4,0,3455113,0.08,33.85
5,1,123,1,21,6826,86,10,3,3271868,0.41,66.52
6,1,123,1,16,1066,18,2,0,1680975,0.39,53.03
7,1,123,1,10,9795,279,33,16,0,0.34,59.41
8,1,123,1,2,6744,105,15,0,0,0.43,71.21
9,1,123,1,7,4911,73,9,3,3701426,0.21,28.32
10,1,123,1,20,8932,102,14,5,3854347,0.41,26.92
11,1,123,1,9,3821,49,5,0,4028789,0.07,44.7
12,1,123,1,18,6505,106,13,4,2994575,0.33,30.46
13,1,123,1,4,2771,46,5,0,1907567,0.25,29.18
14,1,123,1,23,8940,171,19,0,2007483,0.44,50.68
15,1,123,1,5,2599,55,5,1,1830045,0.36,55.68
16,1,123,1,12,2764,58,6,2,2131419,0.12,73.34
17,1,123,1,8,1692,28,4,0,0,0.32,60.76
18,1,123,1,17,8245,147,17,5,2917199,0.21,67.5
19,1,123,1,14,7732,173,22,10,3017623,0.33,76.1
20,1,123,1,1,9836,146,15,0,2236797,0.2,77.8
21,1,168,1,4,6046,96,12,0,0,0.33,25.13
22,1,168,1,1,8467,194,21,0,3769692,0.2,22.96
23,1,168,1,7,2757,72,8,0,6908195,0.23,32.13
24,1,168,1,23,5246,134,19,0,0,0.17,55.39
25,1,168,1,11,4277,68,9,3,3803392,0.13,49.64
26,1,168,1,20,3470,34,3,0,6994267,0.16,43.61
27,1,168,1,10,2626,67,9,0,5443217,0.25,49.3
28,1,168,1,17,3745,77,10,3,6926790,0.16,29.56
29,1,168,1,3,3892,79,8,2,5613096,0.14,40.76
30,1,168,1,22,4801,92,9,4,4114998,0.22,72.49
31,1,168,1,9,6298,173,23,8,3548364,0.21,70.24
32,1,168,1,14,5707,62,6,2,0,0.34,36.0
33,1,168,1,8,6655,181,18,0,3509094,0.19,67.2
34,1,168,1,13,4444,125,12,4,0,0.1,62.81
